!def(FEAT_MBYTE),
!def(EBCDIC),
!def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_DND),
(!def(PROTO)&!def(__BORLANDC__)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(EBCDIC),
def(FEAT_MBYTE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(RISCOS),
def(FEAT_BEVAL),
True,
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_GUI_W32),
