!def(FEAT_GUI_W32),
def(__MINT__),
def(MAIN),
def(FEAT_PROFILE),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(PROTO),
True,
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(_WIN32),
def(DEBUG),
!def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
