def(FEAT_FKMAP),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(WIN32),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMTRUECOLOR),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(DEBUG),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(MAIN),
def(FEAT_TOOLBAR),
def(PROTO),
