(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(WIN32),
def(WSDEBUG),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(__MINT__),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_GTK),
def(MAIN),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(PROTO),
True,
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
