!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(MAIN),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(_WIN32),
def(FEAT_BEVAL),
def(DEBUG),
def(NBDEBUG),
def(FEAT_PROFILE),
def(WIN32),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
True,
def(FEAT_JOB_CHANNEL),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
