!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(FEAT_FKMAP),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(NBDEBUG),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(WSDEBUG),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
def(FEAT_SUN_WORKSHOP),
def(MCH_WRITE_DUMP),
True,
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(PROTO),
