def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG),
True,
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG_TRACE),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(FEAT_GUI),
