!def(INET_SOCKETS),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_GUI),
def(PROTO),
True,
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(DEBUG),
def(WIN32),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
