!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(PROTO),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(FEAT_GUI),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
True,
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
