!def(UNIX),
def(FEAT_FKMAP),
def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(MAIN),
!def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(__MINT__),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_TOOLBAR),
True,
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(WSDEBUG),
def(UNIX),
def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
