!def(INET_SOCKETS),
def(__MINT__),
True,
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(LESSTIF_VERSION),
def(MAIN),
def(FEAT_BEVAL),
def(PROTO),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_GTK),
!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
