!def(NO_CONSOLE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(FEAT_GUI),
!def(PROTO),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
True,
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
