!def(FEAT_GUI_W32),
def(__MINT__),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(DEBUG),
!def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_GUI),
def(_WIN32),
def(LESSTIF_VERSION),
True,
def(FEAT_SUN_WORKSHOP),
def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(WIN32),
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
