def(FEAT_BEVAL_GUI),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(__MINT__),
!def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
!def(INET_SOCKETS),
def(MAIN),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(PROTO),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_PROFILE),
True,
def(JUMPLIST_ROTATE),
def(WIN32),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(WSDEBUG),
