!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(INET_SOCKETS),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_GUI),
def(NBDEBUG),
def(DEBUG),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
!def(PROTO),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
