def(RISCOS),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(DEBUG),
def(PROTO),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
!def(RISCOS),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
def(FEAT_GUI),
def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_CLIPBOARD),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
!def(PROTO),
def(FEAT_GUI_GTK),
