!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
!def(PROTO),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(INET_SOCKETS),
def(DEBUG),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
True,
def(WSDEBUG_TRACE),
def(FEAT_CLIPBOARD),
