!def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
def(FEAT_JOB_CHANNEL),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(__MINT__),
def(JUMPLIST_ROTATE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(MAIN),
!def(FEAT_GUI_W32),
True,
def(FEAT_TOOLBAR),
def(FEAT_BEVAL_GUI),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(_WIN32),
def(LESSTIF_VERSION),
def(WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
