!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(DEBUG),
!def(FEAT_EMACS_TAGS),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(PROTO),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
True,
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
