!def(FEAT_GUI_GTK),
def(MAIN),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(_WIN32),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
True,
def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(WIN32),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
