!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(__MINT__),
def(FEAT_GUI),
def(INET_SOCKETS),
!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(DEBUG),
def(WIN32),
def(MAIN),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_PROFILE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
