!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
def(JUMPLIST_ROTATE),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(DEBUG),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(NBDEBUG),
!def(FEAT_MBYTE),
def(RISCOS),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
True,
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(PROTO),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_RIGHTLEFT),
