def(EBCDIC),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(RISCOS),
def(RISCOS),
def(WSDEBUG),
!def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
True,
!def(EBCDIC),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(NO_CONSOLE),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
