!def(INET_SOCKETS),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(NBDEBUG),
def(FEAT_GUI),
def(FEAT_JOB_CHANNEL),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
True,
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(_WIN32),
def(PROTO),
def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(FEAT_BEVAL),
def(DEBUG),
def(__MINT__),
def(FEAT_SUN_WORKSHOP),
def(MAIN),
def(WSDEBUG),
def(FEAT_PROFILE),
