!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(_WIN32),
def(PROTO),
!def(FEAT_PROFILE),
def(WIN32),
def(FEAT_GUI),
def(__MINT__),
True,
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
