!def(FEAT_GUI_GTK),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI_GTK),
!def(FEAT_EMACS_TAGS),
!def(PROTO),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(FEAT_FKMAP),
def(FEAT_RIGHTLEFT),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(PROTO),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(INET_SOCKETS),
True,
def(FEAT_BEVAL),
