!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(PROTO),
def(INET_SOCKETS),
def(MAIN),
def(FEAT_FKMAP),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
True,
def(FEAT_RIGHTLEFT),
def(FEAT_GUI),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
