!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(PROTO),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
True,
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_CLIPBOARD),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
