def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(WIN32),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(NBDEBUG),
def(FEAT_FLOAT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(FEAT_BEVAL_GUI),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
def(_WIN32),
def(LESSTIF_VERSION),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
