(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(!def(PROTO)&!def(__BORLANDC__)),
True,
def(FEAT_DND),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_BEVAL),
!def(EBCDIC),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(EBCDIC),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(NOIME)),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
!def(RISCOS),
