!def(NO_CONSOLE),
!def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(FEAT_BEVAL),
!def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(FEAT_EMACS_TAGS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_CLIPBOARD),
def(FEAT_GUI_GTK),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(DEBUG),
!def(FEAT_EMACS_TAGS),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(WSDEBUG),
def(PROTO),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
