!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(PROTO),
True,
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
