!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
True,
def(PROTO),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
!def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_MBYTE),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
