def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(NBDEBUG),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
!def(PROTO),
!def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
