!def(FEAT_EMACS_TAGS),
def(FEAT_GUI),
def(FEAT_CLIPBOARD),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_EMACS_TAGS),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(DEBUG),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(FEAT_MBYTE),
!def(FEAT_BEVAL),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_RIGHTLEFT),
def(PROTO),
def(WSDEBUG),
