!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(PROTO),
True,
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(FEAT_EMACS_TAGS),
def(MCH_WRITE_DUMP),
def(DEBUG),
!def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
def(NBDEBUG),
def(WSDEBUG),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
