!def(RISCOS),
def(FEAT_GUI),
def(RISCOS),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_MBYTE),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(NBDEBUG),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
!def(PROTO),
!def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(WSDEBUG),
def(DEBUG),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(PROTO),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
True,
def(FEAT_GUI_GTK),
