def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_CLIPBOARD),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(DEBUG),
def(LESSTIF_VERSION),
def(PROTO),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(PROTO),
!def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
