def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(WIN32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(__MINT__),
def(LESSTIF_VERSION),
def(FEAT_BEVAL_GUI),
def(FEAT_FKMAP),
def(FEAT_PROFILE),
def(MAIN),
def(_WIN32),
!def(FEAT_PROFILE),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
def(NBDEBUG),
def(DEBUG),
True,
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
