!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(NO_CONSOLE),
def(WSDEBUG),
def(PROTO),
def(DEBUG),
def(NBDEBUG),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
