!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI_GTK),
!def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
True,
def(PROTO),
def(JUMPLIST_ROTATE),
