!def(FEAT_GUI_GTK),
def(NBDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(PROTO),
def(_WIN32),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_PROFILE),
True,
!def(INET_SOCKETS),
def(MAIN),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
!def(FEAT_PROFILE),
def(FEAT_TERMRESPONSE),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(__MINT__),
!def(FEAT_GUI_W32),
def(WSDEBUG),
