!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
True,
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
