!def(INET_SOCKETS),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(_WIN32),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
def(NBDEBUG),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(MAIN),
def(FEAT_GUI_W32),
True,
def(WIN32),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
