(!def(PROTO)&!def(__BORLANDC__)),
def(LESSTIF_VERSION),
!def(RISCOS),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(WSDEBUG_SENSE),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
True,
def(WSDEBUG_TRACE),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_GUI_W32),
def(FEAT_DND),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
