!def(PROTO),
def(FEAT_GUI),
def(PROTO),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
True,
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
