!def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(FEAT_RIGHTLEFT),
!def(PROTO),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(WSDEBUG),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
True,
def(__BORLANDC__),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_FKMAP),
def(NBDEBUG),
