!def(RISCOS),
def(FEAT_BEVAL),
def(EBCDIC),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(LESSTIF_VERSION),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
!def(EBCDIC),
def(FEAT_TERMRESPONSE),
def(FEAT_DND),
(!def(PROTO)&!def(__BORLANDC__)),
!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
True,
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
!def(FEAT_GUI_W32),
