!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(RISCOS),
def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
!def(RISCOS),
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(PROTO),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
True,
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(DEBUG),
def(FEAT_GUI),
