def(UNIX),
def(_WIN32),
def(FEAT_BEVAL_GUI),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
!def(UNIX),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(PROTO),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
True,
def(__MINT__),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
