(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_PROFILE),
def(__MINT__),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(UNIX),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(MAIN),
def(FEAT_JOB_CHANNEL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL_GUI),
def(INET_SOCKETS),
def(WSDEBUG),
def(WIN32),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(ABORT_ON_INTERNAL_ERROR),
True,
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
def(PROTO),
!def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
!def(UNIX),
