def(MAIN),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(__MINT__),
!def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(WIN32),
True,
def(_WIN32),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(INET_SOCKETS),
def(NBDEBUG),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
