!def(PROTO),
def(__BORLANDC__),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
True,
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(PROTO),
def(FEAT_GUI_GTK),
def(DEBUG),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI),
