def(FEAT_TERMTRUECOLOR),
def(WSDEBUG_SENSE),
def(FEAT_FKMAP),
def(FEAT_GUI_W32),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
True,
def(WIN32),
def(FEAT_BEVAL),
def(FEAT_CLIPBOARD),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(_WIN32),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
