!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
True,
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(DEBUG),
def(NBDEBUG),
def(PROTO),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
