!def(PROTO),
!def(INET_SOCKETS),
def(WSDEBUG),
!def(NO_CONSOLE),
def(DEBUG),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(PROTO),
def(INET_SOCKETS),
def(NBDEBUG),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
