!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(PROTO),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(MAIN),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
