!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(__BORLANDC__),
def(INET_SOCKETS),
def(FEAT_FKMAP),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
!def(PROTO),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
