!def(PROTO),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(DEBUG),
True,
def(NBDEBUG),
def(FEAT_GUI_GTK),
