def(FEAT_BEVAL_GUI),
def(PROTO),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
True,
def(WIN32),
def(FEAT_TERMRESPONSE),
def(MAIN),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(__MINT__),
def(DEBUG),
def(_WIN32),
def(FEAT_PROFILE),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
!def(INET_SOCKETS),
!def(FEAT_PROFILE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
