!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(__MINT__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(PROTO),
def(_WIN32),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(DEBUG),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(WIN32),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
True,
def(MAIN),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
