!def(FEAT_GUI_W32),
!def(UNIX),
def(FEAT_JOB_CHANNEL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
!def(FEAT_GUI_GTK),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(DEBUG),
!def(FEAT_BEVAL_GUI),
def(INET_SOCKETS),
def(_WIN32),
def(FEAT_TERMRESPONSE),
def(UNIX),
def(ABORT_ON_INTERNAL_ERROR),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(WIN32),
def(WSDEBUG),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
