!def(INET_SOCKETS),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
!def(PROTO),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(DEBUG),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
True,
