!def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
True,
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(EBCDIC),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(EBCDIC),
def(FEAT_GUI),
def(FEAT_BEVAL),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
def(FEAT_DND),
(!def(PROTO)&!def(__BORLANDC__)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(NO_CONSOLE),
!def(FEAT_MBYTE),
def(FEAT_FKMAP),
